Matrícula	Tempo	Velocidade Média	Endereço	Data da Ocorrencia	Inicio e Fim da Ocorrencia	Nome Linha	Veículo
25902	30	81	Rodovia Governador Antônio Mariz 136, Gurinhém - Paraíba, Brasil	14/02/2026	Início: 13:40, Fim: 14:10	CAMPINA GRANDE(PB) - RECIFE(PE)	6085
25902	5	81	Rodovia Governador Antônio Mariz 2, Condado - Paraíba, Brasil	19/02/2026	Início: 23:03, Fim: 23:08	IGUATU(CE) - RECIFE(PE)	6175
25902	7	81	Rodovia Governador Antônio Mariz 26, Santa Luzia - Paraíba, 58600-000, Brasil	20/02/2026	Início: 00:26, Fim: 00:33	IGUATU(CE) - RECIFE(PE)	6175
25902	11	81	Rodovia Governador Antônio Mariz, Junco do Seridó - Paraíba, Brasil	26/02/2026	Início: 00:00, Fim: 00:11	IGUATU(CE) - RECIFE(PE)	6335
25907	10	81	Rodovia Governador Antônio Mariz 6, Santa Luzia - Paraíba, 58600-000, Brasil	04/02/2026	Início: 23:49, Fim: 23:59	IGUATU(CE) - RECIFE(PE)	6255
25926	16	81	Rodovia Governador Antônio Mariz, Massaranduba - Paraíba, Brasil	11/02/2026	Início: 16:55, Fim: 17:11	CAMPINA GRANDE(PB) - RECIFE(PE)	6145
25926	7	81	Rua Paulo Aboana 8, Goiana - Pernambuco, 55900-000, Brasil	12/02/2026	Início: 16:47, Fim: 16:54	CAMPINA GRANDE(PB) - RECIFE(PE)	6204
25959	9	81	Rodovia PE-075, Itambé - Pernambuco, Brasil	14/02/2026	Início: 11:27, Fim: 11:36	CAMPINA GRANDE(PB) - RECIFE(PE)	6145
25959	6	81	Rodovia BR-232, Belo Jardim - Pernambuco, Brasil	28/02/2026	Início: 20:53, Fim: 20:59	CAMPINA GRANDE(PB) - PETROLINA(PE)	6127
26037	6	81	Rodovia Governador Antônio Mariz 176, Campina Grande - Paraíba, 58150-000, Brasil	25/02/2026	Início: 15:37, Fim: 15:43	SÃO LUIS X NATAL (CGE X NAT) IN	6305
26065	16	81	Rodovia Governador Antônio Mariz, Soledade - Paraíba, Brasil	06/02/2026	Início: 01:13, Fim: 01:29	IGUATU(CE) - RECIFE(PE)	6355
26065	6	81	Rodovia Luiz Gonzaga 14, São Caetano - Pernambuco, 55130-000, Brasil	07/02/2026	Início: 20:30, Fim: 20:36	CAMPINA GRANDE(PB) - PETROLINA(PE)	6127
26065	12	81	Rodovia Governador Antônio Mariz, Aparecida - Paraíba, Brasil	11/02/2026	Início: 21:46, Fim: 21:58	IGUATU(CE) - RECIFE(PE)	6325
26065	8	81	Rodovia Governador Antônio Mariz, Juazeirinho - Paraíba, Brasil	12/02/2026	Início: 01:11, Fim: 01:19	IGUATU(CE) - RECIFE(PE)	6325
26065	13	81	Rodovia Deputado Tarcísio Monteiro, Icó - Ceará, Brasil	16/02/2026	Início: 09:05, Fim: 09:18	IGUATU(CE) - RECIFE(PE)	6325
26065	5	81	Rodovia Governador Antônio Mariz 3, Condado - Paraíba, Brasil	17/02/2026	Início: 22:41, Fim: 22:46	IGUATU(CE) - RECIFE(PE)	6255
26090	9	81	Avenida Cicero Batista de Oliveira 4950, Gravatá - Pernambuco, 55640-525, Brasil	24/02/2026	Início: 08:06, Fim: 08:15	RECIFE(PE) - CARUARU(PE) - EXPRESSO	6188
25423	7	81	Br-010, Açailândia - Maranhão, Brasil	01/02/2026	Início: 21:09, Fim: 21:16	SÃO LUIS(MA) - IMPERATRIZ(MA)	6093
25423	5	81	Br-010, Imperatriz - Maranhão, Brasil	08/02/2026	Início: 20:12, Fim: 20:17	SÃO LUIS(MA) - IMPERATRIZ(MA)	6264
25866	6	81	Br-010, Açailândia - Maranhão, Brasil	16/02/2026	Início: 20:40, Fim: 20:46	SÃO LUIS(MA) - IMPERATRIZ(MA)	6264
25744	9	81	Rodovia Governador Mário Covas, Goiana - Pernambuco, Brasil	05/02/2026	Início: 07:12, Fim: 07:21	JOÃO PESSOA(PB) - RECIFE(PE)	6025
25744	9	81	Rodovia Governador Mário Covas, Caaporã - Paraíba, 58326-000, Brasil	08/02/2026	Início: 11:23, Fim: 11:32	JOÃO PESSOA(PB) - RECIFE(PE)	6345
25744	7	81	Rodovia Governador Mário Covas, Goianinha - Rio Grande do Norte, 59173-000, Brasil	23/02/2026	Início: 17:22, Fim: 17:29	JOÃO PESSOA(PB) - NATAL(PB)	6158
25697	7	81	Al-220, Batalha - Alagoas, Brasil	13/02/2026	Início: 22:12, Fim: 22:19	MACEIÓ(AL) - PETROLINA(PE)	6159
25700	6	81	Via Atlântica, Camaçari - Bahia, 42801, Brasil	02/02/2026	Início: 18:49, Fim: 18:55	SALVADOR(BA) - JOÃO PESSOA(PB)	6103
25700	12	81	Se-368, Santa Luzia do Itanhy - Sergipe, Brasil	09/02/2026	Início: 08:40, Fim: 08:52	SALVADOR(BA) - JOÃO PESSOA(PB)	6103
25700	7	81	Via Parafuso, Lauro de Freitas - Bahia, 42734, Brasil	11/02/2026	Início: 18:24, Fim: 18:31	SALVADOR(BA) - JOÃO PESSOA(PB)	6103
25700	6	81	Via Parafuso, Camaçari - Bahia, 42812, Brasil	11/02/2026	Início: 18:34, Fim: 18:40	SALVADOR(BA) - JOÃO PESSOA(PB)	6103
25716	5	81	Fazenda Castelo 1, Santa Luzia do Itanhy - Sergipe, 49230-000, Brasil	18/02/2026	Início: 21:38, Fim: 21:43	SALVADOR(BA) - JOÃO PESSOA(PB)	6083
25716	7	81	Rodovia Governador Mário Covas, São Cristóvão - Sergipe, 49107-451, Brasil	18/02/2026	Início: 23:08, Fim: 23:15	SALVADOR(BA) - JOÃO PESSOA(PB)	6083
25504	16	81	Rodovia Governador Mário Covas 39, Alhandra - Paraíba, 58320-000, Brasil	15/02/2026	Início: 14:53, Fim: 15:09	RECIFE(PE) - NATAL(RN)	6149
25504	15	81	Rodovia Governador Mário Covas, Goiana - Pernambuco, 55900-000, Brasil	17/02/2026	Início: 19:09, Fim: 19:24	RECIFE(PE) - NATAL(RN)	6069
25504	7	81	Rodovia Governador Mário Covas, Mamanguape - Paraíba, Brasil	17/02/2026	Início: 21:16, Fim: 21:23	RECIFE(PE) - NATAL(RN)	6069
25504	9	81	Rodovia Governador Mário Covas, Pedras de Fogo - Paraíba, Brasil	28/02/2026	Início: 17:07, Fim: 17:16	RECIFE(PE) - NATAL(RN)	6099
25609	17	81	Rodovia Governador Mário Covas, Santa Rita - Paraíba, Brasil	03/02/2026	Início: 15:31, Fim: 15:48	RECIFE(PE) - NATAL(RN)	6294
25609	16	81	Rodovia Governador Mário Covas, Goiana - Pernambuco, Brasil	04/02/2026	Início: 11:17, Fim: 11:33	RECIFE(PE) - NATAL(RN)	6149
25609	17	81	Rodovia Governador Mário Covas, Goiana - Pernambuco, Brasil	05/02/2026	Início: 12:38, Fim: 12:55	RECIFE(PE) - NATAL(RN)	6107
25609	19	81	Rodovia Governador Mário Covas, Rio Tinto - Paraíba, 58280-000, Brasil	05/02/2026	Início: 21:21, Fim: 21:40	RECIFE(PE) - NATAL(RN)	6139
25609	19	81	Rodovia Governador Mário Covas, Arez - Rio Grande do Norte, Brasil	05/02/2026	Início: 22:10, Fim: 22:29	RECIFE(PE) - NATAL(RN)	6139
25609	9	81	Rodovia Governador Mário Covas, São José de Mipibu - Rio Grande do Norte, Brasil	05/02/2026	Início: 22:44, Fim: 22:53	RECIFE(PE) - NATAL(RN)	6139
25609	31	81	Rodovia BR-104 6, Taquaritinga do Norte - Pernambuco, 55790-000, Brasil	06/02/2026	Início: 21:08, Fim: 21:39	CARUARU(PE) - NATAL(RN)	6249
25609	14	81	Rodovia BR-104 4945, Salgado, Caruaru - Pernambuco, 55026-075, Brasil	06/02/2026	Início: 22:13, Fim: 22:27	CARUARU(PE) - NATAL(RN)	6249
25609	16	81	Rodovia Governador Mário Covas 8316055, Rio Tinto - Paraíba, 58297-000, Brasil	10/02/2026	Início: 21:34, Fim: 21:50	RECIFE(PE) - NATAL(RN)	6029
25609	11	81	Rodovia Governador Mário Covas, Baía Formosa - Rio Grande do Norte, Brasil	10/02/2026	Início: 22:08, Fim: 22:19	RECIFE(PE) - NATAL(RN)	6029
25609	6	81	Rodovia Governador Mário Covas, Arez - Rio Grande do Norte, Brasil	10/02/2026	Início: 22:32, Fim: 22:38	RECIFE(PE) - NATAL(RN)	6029
25609	10	81	Rodovia Governador Mário Covas, São José de Mipibu - Rio Grande do Norte, 59162-000, Brasil	10/02/2026	Início: 22:53, Fim: 23:03	RECIFE(PE) - NATAL(RN)	6029
25609	5	81	Rodovia Governador Mário Covas, Itapissuma - Pernambuco, Brasil	16/02/2026	Início: 18:49, Fim: 18:54	RECIFE(PE) - NATAL(RN)	6029
25609	10	81	Rodovia Governador Mário Covas 176, São José de Mipibu - Rio Grande do Norte, Brasil	18/02/2026	Início: 20:31, Fim: 20:41	RECIFE(PE) - NATAL(RN)	6077
25609	7	81	Rodovia Governador Mário Covas, Conde - Paraíba, Brasil	22/02/2026	Início: 10:45, Fim: 10:52	RECIFE(PE) - NATAL(RN)	6139
25609	17	81	Rodovia Governador Mário Covas, Itapissuma - Pernambuco, Brasil	22/02/2026	Início: 11:31, Fim: 11:48	RECIFE(PE) - NATAL(RN)	6139
25609	11	81	Br-101, Arthur Lundgren II, Paulista - Pernambuco, Brasil	22/02/2026	Início: 15:40, Fim: 15:51	RECIFE(PE) - NATAL(RN)	6179
25609	17	81	Rodovia Governador Mário Covas, Itapissuma - Pernambuco, Brasil	22/02/2026	Início: 16:17, Fim: 16:34	RECIFE(PE) - NATAL(RN)	6179
25609	22	81	Rodovia Governador Mário Covas, Conde - Paraíba, Brasil	22/02/2026	Início: 16:49, Fim: 17:11	RECIFE(PE) - NATAL(RN)	6179
25609	26	81	Rodovia Governador Mário Covas, Goianinha - Rio Grande do Norte, Brasil	22/02/2026	Início: 18:34, Fim: 19:00	RECIFE(PE) - NATAL(RN)	6179
25333	8	81	Rodovia BR-428, Cabrobó - Pernambuco, Brasil	04/02/2026	Início: 22:43, Fim: 22:51	RECIFE(PE) - PETROLINA(PE) (OPCIONAL - EXE)	6215
25333	5	81	Rodovia BR-316, Belém do São Francisco - Pernambuco, Brasil	04/02/2026	Início: 23:16, Fim: 23:21	RECIFE(PE) - PETROLINA(PE) (OPCIONAL - EXE)	6215
25333	10	81	Br-110, Ibimirim - Pernambuco, 56580-000, Brasil	05/02/2026	Início: 01:31, Fim: 01:41	RECIFE(PE) - PETROLINA(PE) (OPCIONAL - EXE)	6215
25333	11	81	Rodovia BR-428, Cabrobó - Pernambuco, Brasil	06/02/2026	Início: 04:26, Fim: 04:37	RECIFE(PE) - PETROLINA(PE) (OPCIONAL - EXE)	6165
25333	21	81	PE-360, Floresta - Pernambuco, Brasil	09/02/2026	Início: 01:42, Fim: 02:03	RECIFE(PE) - PETROLINA(PE) (OPCIONAL - EXE)	6215
25333	38	81	Rodovia BR-428, Cabrobó - Pernambuco, Brasil	09/02/2026	Início: 03:15, Fim: 03:53	RECIFE(PE) - PETROLINA(PE) (OPCIONAL - EXE)	6215
25333	35	81	Rodovia BR-428 11, Lagoa Grande - Pernambuco, 56395-000, Brasil	09/02/2026	Início: 05:25, Fim: 06:00	RECIFE(PE) - PETROLINA(PE) (OPCIONAL - EXE)	6215
25333	15	81	Br-110, Ibimirim - Pernambuco, Brasil	14/02/2026	Início: 01:56, Fim: 02:11	RECIFE(PE) - PETROLINA(PE) (OPCIONAL - EXE)	6215
25333	29	81	PE-360, Floresta - Pernambuco, Brasil	15/02/2026	Início: 01:44, Fim: 02:13	RECIFE(PE) - PETROLINA(PE) (ANTIGO JUAZEIRO)	6215
25333	29	81	Rodovia BR-316, Belém do São Francisco - Pernambuco, Brasil	15/02/2026	Início: 04:13, Fim: 04:42	RECIFE(PE) - PETROLINA(PE) (ANTIGO JUAZEIRO)	6215
25333	28	81	Orocó, Pernambuco, Brasil	17/02/2026	Início: 21:14, Fim: 21:42	RECIFE(PE) - PETROLINA(PE) (OPCIONAL - EXE)	6165
25333	29	81	PE-360, Ibimirim - Pernambuco, Brasil	19/02/2026	Início: 01:04, Fim: 01:33	RECIFE(PE) - PETROLINA(PE) (OPCIONAL - EXE)	6285
25333	30	81	PE-360, Floresta - Pernambuco, Brasil	19/02/2026	Início: 01:39, Fim: 02:09	RECIFE(PE) - PETROLINA(PE) (OPCIONAL - EXE)	6285
25333	25	81	Rodovia BR-122, Petrolina - Pernambuco, Brasil	19/02/2026	Início: 05:51, Fim: 06:16	RECIFE(PE) - PETROLINA(PE) (OPCIONAL - EXE)	6285
25333	15	81	PE-360, Floresta - Pernambuco, Brasil	21/02/2026	Início: 00:53, Fim: 01:08	RECIFE(PE) - PETROLINA(PE) (OPCIONAL - EXE)	6335
25333	34	81	Rodovia BR-316, Floresta - Pernambuco, Brasil	22/02/2026	Início: 03:15, Fim: 03:49	RECIFE(PE) - PETROLINA(PE) (ANTIGO JUAZEIRO)	6295
25333	16	81	Rodovia BR-428, Santa Maria da Boa Vista - Pernambuco, Brasil	22/02/2026	Início: 05:36, Fim: 05:52	RECIFE(PE) - PETROLINA(PE) (ANTIGO JUAZEIRO)	6295
25333	29	81	PE-360, Floresta - Pernambuco, Brasil	26/02/2026	Início: 01:59, Fim: 02:28	RECIFE(PE) - PETROLINA(PE) (OPCIONAL - EXE)	6345
25333	15	81	PE-360, Floresta - Pernambuco, Brasil	26/02/2026	Início: 02:50, Fim: 03:05	RECIFE(PE) - PETROLINA(PE) (OPCIONAL - EXE)	6345
25586	7	81	Rodovia Br-232 28, Calumbi - Pernambuco, 56930-000, Brasil	07/02/2026	Início: 01:56, Fim: 02:03	CAMPINA GRANDE(PB) - PETROLINA(PE)	6127
25586	5	81	Rodovia BR-232, Mirandiba - Pernambuco, Brasil	08/02/2026	Início: 02:23, Fim: 02:28	CAMPINA GRANDE(PB) - PETROLINA(PE)	6127
25586	16	81	Rodovia BR-232, Serra Talhada - Pernambuco, Brasil	25/02/2026	Início: 01:36, Fim: 01:52	CAMPINA GRANDE(PB) - PETROLINA(PE)	6073
25957	16	81	Rodovia BR-428, Santa Maria da Boa Vista - Pernambuco, Brasil	15/02/2026	Início: 21:20, Fim: 21:36	RECIFE(PE) - PETROLINA(PE) (OPCIONAL - EXE)	6195
25957	6	81	Br-110, Sertânia - Pernambuco, Brasil	23/02/2026	Início: 23:40, Fim: 23:46	RECIFE(PE) - PETROLINA(PE) (LEITO_CAMA)	6033
25957	46	81	PE-360, Floresta - Pernambuco, Brasil	24/02/2026	Início: 00:53, Fim: 01:39	RECIFE(PE) - PETROLINA(PE) (LEITO_CAMA)	6033
25957	11	81	Rodovia BR-428, Cabrobó - Pernambuco, Brasil	24/02/2026	Início: 03:09, Fim: 03:20	RECIFE(PE) - PETROLINA(PE) (LEITO_CAMA)	6033
25957	28	81	BR-428, Petrolina - Pernambuco, Brasil	24/02/2026	Início: 05:00, Fim: 05:28	RECIFE(PE) - PETROLINA(PE) (LEITO_CAMA)	6033
26024	42	81	Rodovia BR-428, Santa Maria da Boa Vista - Pernambuco, Brasil	01/02/2026	Início: 20:18, Fim: 21:00	RECIFE(PE) - PETROLINA(PE) (OPCIONAL - EXE)	6165
26024	25	81	Br-110, Ibimirim - Pernambuco, Brasil	02/02/2026	Início: 01:54, Fim: 02:19	RECIFE(PE) - PETROLINA(PE) (OPCIONAL - EXE)	6165
26024	29	81	PE-360, Floresta - Pernambuco, Brasil	03/02/2026	Início: 01:14, Fim: 01:43	RECIFE(PE) - PETROLINA(PE) (OPCIONAL - EXE)	6325
26024	11	81	Rodovia BR-428, Cabrobó - Pernambuco, Brasil	03/02/2026	Início: 04:07, Fim: 04:18	RECIFE(PE) - PETROLINA(PE) (OPCIONAL - EXE)	6325
