VEÍCULO	DATA	MOTORISTA IDENTIFICADO?	MATRÍCULA MOTORISTA	CULPADO?	LANÇADO NO GLOBUS?	MÊS DE LANÇAMENTO	GERENTE	TIPO DE AVARIA	HORÁRIO	VALOR DA AVARIA	VALOR COBRADO
6054	06/10/2022	X	X	X	NÃO	X	X	LATERAL	X	480	0
6299	01/10/2022	X	X	X	NÃO	X	X	PNEU	X	906	
6059	01/10/2022	X	X	X	NÃO	X	X	PNEU	X	906	
6126	01/10/2022	SIM	25640	SIM	SIM	OUTUBRO	MARCIO	LATERAL	05:30	95	95
6129	01/10/2022	SIM	25996	SIM	SIM	OUTUBRO	MARCIO	LATERAL	22:29	431,15	431,15
6087	28/09/2022	X	X	X	NÃO	X	X	PNEU	X	906	
6134	27/09/2022	SIM	25997	SIM	SIM	OUTUBRO	ROMULO	LATERAL	X	630	630
6107	27/09/2022	SIM	25909	SIM	SIM	OUTUBRO	MARCIO	LATERAL	X	125	125
6037	26/09/2022	SIM	25700	SIM	SIM	OUTUBRO	LUIZ	LATERAL	23:50	215	215
6066	26/09/2022	X	X	X	NÃO	X	X	LATERAL	X	150	0
6309	24/09/2022	SIM	26089	SIM	SIM	OUTUBRO	VASSIL	LATERAL	X	1.521,96	1.521,96
6214	24/09/2022	X	X	X	NÃO	X	X	TRASEIRO	X	130	0
6079	24/09/2022	SIM	26051	SIM	SIM	OUTUBRO	VASSIL	FRONTAL	X	90	90
6069	23/09/2022	SIM	26006	SIM	SIM	OUTUBRO	VASSIL	LATERAL	X	195	195
6038	22/09/2022	X	X	X	NÃO	X	X	PNEU	X	906	
6048	22/09/2022	X	X	X	NÃO	X	X	PNEU	X	906	
6039	19/09/2022	SIM	26057	SIM	SIM	OUTUBRO	VASSIL	TRASEIRO	02:30	120	120
6023	19/09/2022	SIM	26053	NÃO	NÃO	SETEMBRO	VASSIL	FRONTAL	X	190	0
6029	19/09/2022	SIM	25925	SIM	NÃO	SETEMBRO	LUIZ	LATERAL	X	115	115
6188	18/09/2022	SIM	25682	SIM	SIM	SETEMBRO	MARCIO	TRASEIRO	X	75	75
6015	18/09/2022	X	X	X	NÃO	X	X	PNEU	X	906	
6114	17/09/2022	SIM	25960	SIM	SIM	OUTUBRO	ROMULO	LATERAL	X	140	140
6047	17/09/2022	SIM	25638	SIM	SIM	SETEMBRO	MARCIO	TRASEIRO	17:00	605	605
6092	16/09/2022	SIM	21448	SIM	SIM	SETEMBRO	ROMULO	LATERAL	X	3.220,46	3.220,46
6142	16/09/2022	X	X	X	NÃO	X	X	LATERAL	X	813,84	0
6078	16/09/2022	X	X	X	NÃO	X	X	PNEU	X	906	
6189	14/09/2022	SIM	23405	SIM	SIM	SETEMBRO	MARCIO	LATERAL	X	140	140
6135	14/09/2022	SIM	25696	SIM	SIM	SETEMBRO	MARCIO	LATERAL	X	1.159,70	1.159,70
6082	14/09/2022	X	X	X	NÃO	X	X	PNEU	X	906	
6189	14/09/2022	X	X	X	NÃO	X	X	PNEU	X	906	
6029	13/09/2022	SIM	25331	SIM	SIM	SETEMBRO	LUIZ	FRONTAL	X	65	65
6269	13/09/2022	SIM	25215	SIM	SIM	SETEMBRO	LUIZ	FRONTAL	X	3.072,40	3.072,40
6136	13/09/2022	SIM	25215	SIM	SIM	SETEMBRO	LUIZ	TRASEIRO	X	177,5	177,5
6099	13/09/2022	SIM	24686	NÃO	NÃO	X	MARCIO	LATERAL	X	1.851,00	0
6199	12/09/2022	SIM	25969	SIM	SIM	SETEMBRO	MARCIO	LATERAL	X	132,5	132,5
6139	10/09/2022	SIM	25887	SIM	NÃO	SETEMBRO	LUIZ	FRONTAL	18:00	90	90
6106	09/09/2022	SIM	26029	NÃO	NÃO	SETEMBRO	ROMULO	FRONTAL	X	110	110
6057	09/09/2022	X	X	X	NÃO	X	X	PNEU	X	443,5	
6039	09/09/2022	X	X	X	NÃO	X	X	PNEU	X	906	
6179	08/09/2022	X	X	X	NÃO	X	X	PNEU	X	906	
6094	07/09/2022	X	X	X	NÃO	X	X	PNEU	X	906	
6066	06/09/2022	X	X	X	NÃO	X	X	PNEU	X	906	
6049	05/09/2022	SIM	26096	SIM	SIM	OUTUBRO	VASSIL	FRONTAL	X	100	100
6158	05/09/2022	SIM	26000	SIM	NÃO	SETEMBRO	MARCIO	LATERAL	X	520	520
6218	05/09/2022	SIM	25576	NÃO	NÃO	X	MARCIO	TRASEIRO	19:40	536,05	0
6228	05/09/2022	X	X	X	NÃO	X	X	PNEU	X	906	
6154	04/09/2022	SIM	25689	SIM	SIM	SETEMBRO	ROMULO	TRASEIRO	15:39	762	762
6149	03/09/2022	SIM	25449	SIM	SIM	SETEMBRO	ROMULO	FRONTAL	X	160	160
6139	02/09/2022	X	X	X	NÃO	X	X	FRONTAL	X	95	0
6157	02/09/2022	X	X	X	NÃO	X	X	LATERAL	X	974,1	0
6156	02/09/2022	SIM	26017	NÃO	NÃO	X	ROMULO	FRONTAL	X	95	0
6231	02/09/2022	X	X	X	NÃO	X	X	TETO	X	152,5	0
6034	01/09/2022	X	X	X	NÃO	X	X	PNEU	X	906	
6023	31/08/2022	SIM	26006	SIM	SIM	SETEMBRO	VASSIL	LATERAL	X	300	300
6134	31/08/2022	SIM	26065	NÃO	NÃO	X	LUIZ	LATERAL	X	360	0
6078	31/08/2022	X	X	X	NÃO	X	X	PNEU	X	906	
6127	29/08/2022	X	X	X	NÃO	X	X	PNEU	X	906	
6023	29/08/2022	X	X	X	NÃO	X	X	PNEU	X	906	
6069	23/08/2022	SIM	25483	NÃO	NÃO	X	VASSIL	LATERAL	X	696,8	0
6229	22/08/2022	SIM	25893	SIM	SIM	AGOSTO	MARCIO	TRASEIRO	23:30	115	115
6244	20/08/2022	SIM	25576	SIM	SIM	AGOSTO	MARCIO	FRONTAL	X	2.294,31	2.294,31
6029	17/08/2022	SIM	23390	NÃO	NÃO	X	MARCIO	LATERAL	X	889	0
6013	16/08/2022	X	X	X	NÃO	X	X	PNEU	X	906	
6085	15/08/2022	X	X	X	NÃO	X	X		X	1.192,82	0
6074	14/08/2022	X	X	X	NÃO	X	X	PNEU	X	906	
6039	14/08/2022	X	X	X	NÃO	X	X	PNEU	X	2.915,00	
6109	12/08/2022	SIM	25604	SIM	SIM	AGOSTO	ROMULO	LATERAL	X	865	865
6194	11/08/2022	SIM	FREELANCE	X	NÃO	X	X	LATERAL	X	1.920,00	0
6076	10/08/2022	SIM	25915	SIM	SIM	AGOSTO	ROMULO	FRONTAL	X	7.730,00	7.000,00
6116	08/08/2022	SIM	25985	SIM	SIM	AGOSTO	ROMULO	LATERAL	21:43	1.075,00	1.075,00
6188	08/08/2022	X	X	X	NÃO	X	X	PNEU	X	906	
6214	06/08/2022	X	X	X	NÃO	X	X	PNEU	X	1.175,00	
6238	05/08/2022	SIM	25876	SIM	SIM	AGOSTO	ROMULO	LATERAL	21:34	330	330
6157	05/08/2022	SIM	25964	SIM	SIM	AGOSTO	MARCIO	FRONTAL	X	110	110
6046	05/08/2022	X	X	X	NÃO	X	X	FRONTAL	X	100	0
6154	05/08/2022	SIM	25621	NÃO	NÃO	X	ROMULO	FRONTAL	07:58	1.770,00	0
6299	04/08/2022	SIM	25861	SIM	SIM	AGOSTO	VASSIL	FRONTAL/LATERAL	X	4.231,51	4.231,51
6128	02/08/2022	X	X	X	NÃO	X	X	PNEU	X	2.915,00	
6099	01/08/2022	SIM	25857	SIM	SIM	AGOSTO	VASSIL	FRONTAL	X	115	115
6261	01/08/2022	SIM	24734	SIM	SIM	AGOSTO	LUIZ	FRONTAL	X	80	80
6057	01/08/2022	SIM	25969	SIM	SIM	AGOSTO	MARCIO	FRONTAL	X	85	85
6105	01/08/2022	X	X	X	NÃO	X	X	LATERAL	X	106,45	0
6027	01/08/2022	SIM	25647	NÃO	NÃO	X	ROMULO	LATERAL	X	1.013,95	0
6087	01/08/2022	X	X	X	NÃO	X	X	PNEU	X	2.915,00	
6107	31/07/2022	SIM	25323	SIM	SIM	AGOSTO	MARCIO	FRONTAL	00:30	2.817,23	2.817,23
6164	29/07/2022	SIM	25283	NÃO	NÃO	X	X	LATERAL	19:20	240	0
6251	28/07/2022	SIM	25603	SIM	SIM	JULHO	ROMULO	FRONTAL	00:25	3.205,17	3.205,17
6148	26/07/2022	SIM	24817	NÃO	NÃO	AGOSTO	MARCIO	FRONTAL	08:00	5.568,36	0
6049	25/07/2022	X	X	X	NÃO	X	X	FRONTAL	X	115	0
6102	24/07/2022	SIM	21448	SIM	SIM	JULHO	ROMULO	LATERAL	X	310	310
6064	22/07/2022	SIM	25897	SIM	SIM	JULHO	ROMULO	TRASEIRO	X	125	125
6048	22/07/2022	X	X	X	NÃO	X	X	PNEU	X	906	
6079	21/07/2022	X	X	X	NÃO	X	X	PNEU	X	906	
6105	20/07/2022	SIM	23119	NÃO	NÃO	X	ROMULO	LATERAL	X	125	0
6064	20/07/2022	X	X	X	NÃO	X	X	PNEU	X	906	
6214	19/07/2022	SIM	25985	SIM	SIM	JULHO	ROMULO	FRONTAL	X	220	220
6199	19/07/2022	SIM	26036	SIM	SIM	JULHO	VASSIL	LATERAL	20:00	3.311,00	3.311,00
6106	19/07/2022	X	X	X	NÃO	X	X	FRONTAL	X	82,5	0
6026	18/07/2022	SIM	26000	NÃO	NÃO	X	MARCIO	LATERAL	13:25	1.050,00	0
6129	16/07/2022	SIM	26036	SIM	SIM	JULHO	VASSIL	FRONTAL	X	1.508,00	1.508,00
6079	15/07/2022	SIM	23390	NÃO	NÃO	X	MARCIO	LATERAL	X	865	0
6105	14/07/2022	SIM	25920	SIM	SIM	JULHO	ROMULO	LATERAL	X	280	280
6124	12/07/2022	SIM	26011	SIM	SIM	AGOSTO	ROMULO	FRONTAL	X	125	125
6139	11/07/2022	SIM	25888	SIM	SIM	JULHO	LUIZ	FRONTAL	X	167,5	167,5
6039	11/07/2022	SIM	23390	NÃO	NÃO	X	MARCIO	FRONTAL/LATERAL	06:30	12.562,45	0
6189	08/07/2022	SIM	25995	NÃO	NÃO	X	MARCIO	LATERAL	23:30	8.438,66	0
6016	07/07/2022	X	X	X	NÃO	X	X		X	490	0
6199	06/07/2022	SIM	25604	NÃO	NÃO	X	ROMULO	FRONTAL	00:24	3.859,80	0
6139	05/07/2022	SIM	26005	NÃO	NÃO	X	VASSIL	FRONTAL	20:00	866	0
6097	02/07/2022	X	X	X	NÃO	X	X	PNEU	X	906	
6058	02/07/2022	X	X	X	NÃO	X	X	PNEU	X	906	
6023	01/07/2022	SIM	X	NÃO	NÃO	JULHO	ROMULO	LATERAL	X	285	285
6271	01/07/2022	SIM	X	NÃO	NÃO	JULHO	ROMULO	LATERAL	04:58	160	160
6014	01/07/2022	SIM	25986	SIM	SIM	JULHO	ROMULO	FRONTAL	03:40	2.020,00	2.020,00
6127	30/06/2022	SIM	24863	SIM	SIM		MARCIO	FRONTAL	X	100	70
6261	29/06/2022	SIM	25876	SIM	SIM	JULHO	ROMULO	FRONTAL	X	90	60
6016	29/06/2022	X	FREELANCE	X	NÃO	X	X	LATERAL	X	265	0
6023	28/06/2022	SIM	25492	SIM	SIM	JULHO	LUIZ	FRONTAL	X	97,5	60
6127	28/06/2022	X	X	X	NÃO	X	X	PNEU	X	906	
6134	28/06/2022	X	X	X	NÃO	X	X	PNEU	X	906	
6126	28/06/2022	X	X	X	NÃO	X	X	PNEU	X	906	
6219	27/06/2022	SIM	23983	SIM	SIM	JULHO	ROMULO	LATERAL	X	1.400,26	1.355,26
6084	25/06/2022	SIM	25955	SIM	SIM	JULHO	ROMULO	FRONTAL	X	95	80
6134	25/06/2022	X	X	X	NÃO	X	X	PNEU	X	906	
6025	24/06/2022	X	X	X	NÃO	X	X	PNEU	X	906	
6048	24/06/2022	X	X	X	NÃO	X	X	PNEU	X	906	
6147	23/06/2022	SIM	25716	SIM	NÃO	X	LUIZ	LATERAL	X	800	740
6096	23/06/2022	X	X	X	NÃO	X	X	LATERAL	X	203,8	
6124	23/06/2022	X	X	X	NÃO	X	X	LATERAL	X	150,8	0
6148	23/06/2022	X	X	X	NÃO	X	X	PNEU	X	906	
6249	23/06/2022	SIM	FREELANCE	NÃO	NÃO	X	ROMULO	LATERAL	X	1.020,00	0
6159	22/06/2022	SIM	24972	SIM	SIM	JULHO	MARCIO	FRONTAL	X	2.455,00	2.350,00
6259	22/06/2022	X	X	X	NÃO	X	X	ASSALTO	X	1.015,00	
6069	22/06/2022	X	X	X	NÃO	X	X	PNEU	X	906	
6039	21/06/2022	X	X	X	NÃO	X	X	PNEU	X	3.065,00	
6084	20/06/2022	X	X	X	NÃO	X	X	ASSALTO	X	2.373,95	
6036	20/06/2022	X	X	X	NÃO	X	X	PNEU	X	906	
6039	17/06/2022	SIM	25623	SIM	SIM	JUNHO	VASSIL	LATERAL	X	202,5	120
6309	17/06/2022	SIM	23119	SIM	SIM	JUNHO	MARCIO	FRONTAL	X	383,25	300
6106	16/06/2022	X	X	X	NÃO	X	X	PNEU	X	906	
6069	15/06/2022	SIM	25971	SIM	SIM	JUNHO	MARCIO	LATERAL	20:30	240	150
6026	15/06/2022	X	X	X	NÃO	X	X	PNEU	X	906	
6027	14/06/2022	SIM	22487	SIM	SIM	JUNHO	MARCIO	LATERAL	X	2.120,00	2.090,00
6239	13/06/2022	SIM	25926	SIM	SIM	AGOSTO	LUIZ	LATERAL	07:30	1.626,96	1.581,96
6261	13/06/2022	SIM	24817	SIM	SIM	JUNHO	MARCIO	FRONTAL	X	177,5	80
6019	13/06/2022	X	X	X	NÃO	X	X	PNEU	X	906	
6074	12/06/2022	X	X	X	NÃO	X	X	LATERAL	X	906	
6069	12/06/2022	X	X	X	NÃO	X	X	LATERAL	X	906	
6079	11/06/2022	SIM	25448	SIM	SIM	JUNHO	VASSIL	FRONTAL	X	180	90
6244	11/06/2022	X	X	X	NÃO	X	X	LATERAL	X	906	
6049	10/06/2022	SIM	24785	SIM	SIM	JUNHO	VASSIL	FRONTAL	14:30	157,5	90
6046	09/06/2022	SIM	26017	SIM	SIM	JUNHO	ROMULO	FRONTAL	X	122,5	70
6066	08/06/2022	X	X	X	NÃO	X	X	X	X	130	
6198	07/06/2022	SIM	25905	SIM	SIM	JULHO	ROMULO	TRASEIRO	X	205	100
6127	07/06/2022	SIM	24863	SIM	SIM	JUNHO	MARCIO	FRONTAL	X	160	70
6159	06/06/2022	X	X	X	NÃO	X	X	X	X	893,16	
6208	06/06/2022	X	X	X	NÃO	X	X	PNEU	X	906	
6059	06/06/2022	X	X	X	NÃO	X	X	PNEU	X	906	
6069	03/06/2022	X	X	X	NÃO	X	X	X	X	339	
6079	03/06/2022	X	X	X	NÃO	X	X	X	X	165	
6088	31/05/2022	X	X	X	NÃO	X	ROMULO	FRONTAL	02:00	3.265,00	
6229	30/05/2022	SIM	25696	SIM	SIM	AGOSTO	MARCIO	LATERAL	00:50	365	230
6049	30/05/2022	SIM	25996	SIM	SIM	JULHO	MARCIO	LATERAL	23:10	210	180
6014	30/05/2022	X	X	X	NÃO	X	X	LATERAL	X	436,34	
6023	30/05/2022	SIM	24432	SIM	NÃO	X	MARCIO	FRONTAL	20:50	6.006,21	5.646,21
6194	27/05/2022	SIM	25889	SIM	SIM	JUNHO	ROMULO	FRONTAL	X	80	50
6149	27/05/2022	SIM	25871	SIM	SIM	JUNHO	VASSIL	LATERAL	17:45	195	180
6244	25/05/2022	SIM	25989	SIM	SIM	MAIO	ROMULO	LATERAL	X	95	80
6106	25/05/2022	SIM	25892	SIM	NÃO	X	ROMULO	FRONTAL	X	135	75
6094	24/05/2022	X	X	X	NÃO	X	X	FRONTAL	X	4.672,11	
6049	24/05/2022	X	X	X	NÃO	X	X	LATERAL	X	752,4	
6014	23/05/2022	X	X	X	NÃO	X	X	FRONTAL	X	1.491,34	
6234	23/05/2022	SIM	25971	SIM	NÃO	X	MARCIO	LATERAL	X	210	120
6028	20/05/2022	X	X	NÃO	NÃO	X	ROMULO	LATERAL	08:00	201	141
6139	20/05/2022	SIM	25866	SIM	NÃO	X	VASSIL	FRONTAL	X	132,5	80
6022	20/05/2022	X	X	X	NÃO	X	X	FRONTAL	X	2.550,00	
6099	19/05/2022	SIM	25548	SIM	SIM	JULHO	VASSIL	FRONTAL	X	125	80
6202	17/05/2022	SIM	25883	SIM	SIM	MAIO	ROMULO	FRONTAL	X	1.000,00	910
6038	17/05/2022	SIM	25082	SIM	SIM	X	LUIZ	TRASEIRO	07:30	165	90
6122	16/05/2022	SIM	25972	SIM	SIM	MAIO	ROMULO	FRONTAL/LATERAL	X	3.468,50	3.161,00
6248	15/05/2022	X	X	X	NÃO	X	X	LATERAL	X	906	
6155	13/05/2022	SIM	25897	SIM	SIM	MAIO	ROMULO	LATERAL	X	297,5	200
6104	13/05/2022	SIM	25684	SIM	NÃO	X	LUIZ	LATERAL	X	940	790
6309	12/05/2022	X	X	X	NÃO	X	X	LATERAL	X	906	
6079	11/05/2022	X	X	X	NÃO	X	X	FRONTAL	X	65	
6095	11/05/2022	X	X	X	NÃO	X	X	LATERAL	X	906	
6154	10/05/2022	SIM	25326	SIM	SIM	MAIO	ROMULO	LATERAL	X	225	150
6157	09/05/2022	SIM	24597	SIM	SIM	MAIO	VASSIL	LATERAL	X	300	150
6241	09/05/2022	X	X	X	NÃO	X	X	FRONTAL	X	97	
6179	07/05/2022	SIM	23405	SIM	SIM	JUNHO	MÁRCIO	FRONTAL	X	90	90
6077	06/05/2022	SIM	25638	SIM	SIM	MAIO	MÁRCIO	LATERAL	X	245	170
6014	06/05/2022	X	X	X	NÃO	X	X	LATERAL	X	753	
6067	05/05/2022	SIM	25616	SIM	SIM	MAIO	MÁRCIO	LATERAL	X	320	200
6086	05/05/2022	SIM	25926	SIM	NÃO	X	LUIZ	TRASEIRO	X	90	60
6146	05/05/2022	X	X	X	NÃO	X	X	LATERAL	X	906	
6017	05/05/2022	X	X	X	NÃO	X	X	LATERAL	X	906	
6241	05/05/2022	X	X	X	NÃO	X	X	LATERAL	X	906	
6147	04/05/2022	X	X	X	NÃO	X	X	LATERAL	X	906	
6034	03/05/2022	X	X	X	NÃO	X	X	LATERAL	X	260	
6022	03/05/2022	X	X	X	NÃO	X	X	FRONTAL	X	9.450,21	
6026	03/05/2022	X	X	X	NÃO	X	X	LATERAL	X	906	
6049	02/05/2022	SIM	22487	SIM	SIM	JUNHO	MÁRCIO	FRONTAL	X	302	302
6049	02/05/2022	SIM	25969	SIM	SIM	MAIO	MÁRCIO	LATERAL	X	570	570
6117	02/05/2022	X	X	X	NÃO	X	X	LATERAL	X	906	
6049	25/04/2022	SIM	25604	SIM	SIM	JUNHO	ROMULO	FRONTAL	X	130	70
6039	24/04/2022	SIM	25935	SIM	SIM	JUNHO	VASSIL	LATERAL	X	275	170
6124	23/04/2022	X	X	NÃO	NÃO	X	ROMULO	FRONTAL	X	1.595,68	0
6069	20/04/2022	X	X	NÃO	NÃO / AVARIA FEITA NA MAN.	X	X	X	X	X	
6077	19/04/2022	X	X	X	NÃO	X	ROMULO	FRONTAL	X	3.671,71	0
6049	18/04/2022	SIM	25863	SIM	SIM	MAIO	VASSIL	LATERAL	X	160	160
6251	13/04/2022	SIM	25882	SIM	SIM	MAIO	ROMULO	LATERAL	X	387,5	300
6018	12/04/2022	SIM	25893	SIM	SIM	JUNHO	MÁRCIO	FRONTAL	X	110	80
6106	10/04/2022	SIM	25984	SIM	SIM	MAIO	ROMULO	TRASEIRA	X	177,5	150
6159	10/04/2022	SIM	25616	SIM	SIM	MAIO	MÁRCIO	TRASEIRA	X	167,5	150
6054	10/04/2022	SIM	25984	SIM	SIM	MAIO	ROMULO	LATERAL	X	672,5	600
6059	10/04/2022	SIM	25616	SIM	SIM	MAIO	MÁRCIO	LATERAL	X	998,5	900
6099	07/04/2022	SIM	25863	SIM	SIM	MAIO	VASSIL	FRONTAL	X	6.723,00	3.300,00
6261	07/04/2022	SIM	23750	SIM	NÃO	X	LUIZ	FRONTAL	X	162,23	150
6016	06/04/2022	SIM	FREELANCE	SIM	NÃO	X	ROMULO	FRONTAL	X	4.306,00	0
6238	27/03/2022	SIM	25905	SIM	SIM	MAIO	ROMULO	FRONTAL	X	290	200
6261	17/03/2022	SIM	25985	SIM	SIM	SETEMBRO	ROMULO	X	X	200	200
6134	11/03/2022	SIM	25910	SIM	SIM	SETEMBRO	ROMULO	X	X	1.208,00	1.208,00
6086	29/12/2023	SIM	26154	NÃO	-	-	MANUTENÇÃO	DIANTEIRO		400	0
6083	29/12/2023	NÃO	-	-	-	-	-	FRONTAL		4.490,58	0
6029	27/12/2023	NÃO	-	-	-	-	-	DIANTEIRO LE		75	0
6063	27/12/2023	NÃO	-	-	-	-	-	DIANTEIRO LD		623,58	0
6148	26/12/2023	SIM	25423	SIM	NÃO		IVOMAR	LATERAL LD		631	631
6096	25/12/2023	SIM	25926	SIM	NÃO		LUIZ	PNEU		1.156,00	1.156,00
6079	22/12/2023	NÃO	-	-	-	-	-	DIANTEIRO		150	0
6146	21/12/2023	NÃO	-	-	-	-	-	LATERAL LE		935,4	0
6067	20/12/2023	SIM	23479	SIM	NÃO		RINALDO	TRASEIRO LE		1.135,00	1.135,00
6086	19/12/2023	NÃO	-	-	-	-	-	LATERAL LD		200	0
