Prefixo do Veículo;Data;Operacional (KM);Ociosa (KM);Total (KM)
6135;03/02/2026;566.7;9.3;576
6139;24/02/2026;703.7;9.3;713
6148;04/02/2026;648.1;9.3;657.4
6204;21/02/2026;877.6;9.3;886.9
6219;07/02/2026;505.8;9.3;515.1
6219;20/02/2026;499.7;9.3;509
6245;14/02/2026;948.8;9.3;958.1
6255;22/02/2026;1012.8;9.3;1022.1
6265;24/02/2026;964.7;9.3;974
6285;17/02/2026;983.8;9.3;993.1
6295;13/02/2026;1114.5;9.3;1123.8
6305;07/02/2026;1049.3;9.3;1058.6
6015;19/02/2026;933;9.2;942.2
6054;20/02/2026;313.7;9.2;322.9
6054;23/02/2026;499.3;9.2;508.5
6059;28/02/2026;303;9.2;312.2
6066;27/02/2026;428.6;9.2;437.8
6067;12/02/2026;955.9;9.2;965.1
6068;10/02/2026;502.1;9.2;511.3
6075;07/02/2026;496.5;9.2;505.7
6085;14/02/2026;413.7;9.2;422.9
6108;16/02/2026;424.9;9.2;434.1
6126;28/02/2026;513.3;9.2;522.5
6139;07/02/2026;347.2;9.2;356.4
6175;09/02/2026;490.8;9.2;500
6175;16/02/2026;789.9;9.2;799.1
6245;08/02/2026;881.9;9.2;891.1
6255;14/02/2026;990;9.2;999.2
6305;26/02/2026;526.1;9.2;535.3
6017;05/02/2026;699.3;9.1;708.4
6025;23/02/2026;122.2;9.1;131.3
6035;17/02/2026;588.6;9.1;597.7
6066;07/02/2026;400;9.1;409.1
6068;09/02/2026;500.1;9.1;509.2
6075;04/02/2026;403.1;9.1;412.2
6077;17/02/2026;296.8;9.1;305.9
6108;06/02/2026;425.2;9.1;434.3
6127;04/02/2026;543.5;9.1;552.6
6147;26/02/2026;585.9;9.1;595
6148;11/02/2026;359.3;9.1;368.4
6148;13/02/2026;1057.1;9.1;1066.2
6156;10/02/2026;594.7;9.1;603.8
6158;03/02/2026;474.7;9.1;483.8
6179;27/02/2026;667.3;9.1;676.4
6254;25/02/2026;1270.2;9.1;1279.3
6335;08/02/2026;1081.1;9.1;1090.2
6019;20/02/2026;;891.5;891.5
6294;17/02/2026;257.2;880.8;1138
6035;12/02/2026;133.9;88.9;222.8
6245;21/02/2026;439.5;88.4;527.9
6023;11/02/2026;454.8;86.8;541.6
6219;15/02/2026;;86.6;86.6
6294;18/02/2026;;852.7;852.7
6107;25/02/2026;;85.6;85.6
6248;10/02/2026;;839.4;839.4
6189;09/02/2026;87.5;835.6;923.1
6103;14/02/2026;1110.3;82.6;1192.9
6179;19/02/2026;1147.3;82.6;1229.9
6294;21/02/2026;;818.6;818.6
2212;15/02/2026;252.7;81.5;334.2
6036;26/02/2026;;81.5;81.5
207;04/02/2026;;81.2;81.2
6117;02/02/2026;;81.2;81.2
6059;23/02/2026;;80.1;80.1
6015;28/02/2026;648.1;8.9;657
6017;14/02/2026;416.6;8.9;425.5
6045;17/02/2026;875.9;8.9;884.8
6069;04/02/2026;736.6;8.9;745.5
6079;02/02/2026;717.3;8.9;726.2
6079;11/02/2026;945.7;8.9;954.6
6087;17/02/2026;602.1;8.9;611
6087;22/02/2026;595.1;8.9;604
6095;13/02/2026;397.5;8.9;406.4
6108;27/02/2026;660.5;8.9;669.4
6149;15/02/2026;588.3;8.9;597.2
6155;05/02/2026;873.3;8.9;882.2
6157;14/02/2026;894.1;8.9;903
6158;24/02/2026;122.8;8.9;131.7
6274;04/02/2026;1258.7;8.9;1267.6
6285;13/02/2026;1127.9;8.9;1136.8
6299;06/02/2026;500;8.9;508.9
6355;27/02/2026;535.7;8.9;544.6
6018;28/02/2026;428.5;8.8;437.3
6028;20/02/2026;550.4;8.8;559.2
6039;25/02/2026;718;8.8;726.8
6067;19/02/2026;731.6;8.8;740.4
6069;17/02/2026;588.3;8.8;597.1
6079;17/02/2026;387.8;8.8;396.6
6093;06/02/2026;1240;8.8;1248.8
6145;11/02/2026;343.6;8.8;352.4
6149;04/02/2026;590.4;8.8;599.2
6165;20/02/2026;955.6;8.8;964.4
6189;17/02/2026;419.5;8.8;428.3
6228;08/02/2026;428;8.8;436.8
6015;02/02/2026;411.7;8.7;420.4
6017;12/02/2026;574.7;8.7;583.4
6027;18/02/2026;940.3;8.7;949
6028;24/02/2026;630.4;8.7;639.1
6029;15/02/2026;565.7;8.7;574.4
6045;13/02/2026;504.4;8.7;513.1
6054;19/02/2026;712;8.7;720.7
6056;27/02/2026;262.9;8.7;271.6
6063;12/02/2026;482.1;8.7;490.8
6085;11/02/2026;648;8.7;656.7
6086;09/02/2026;700.3;8.7;709
6086;12/02/2026;720.5;8.7;729.2
6103;21/02/2026;396.6;8.7;405.3
6128;24/02/2026;501.4;8.7;510.1
6145;01/02/2026;364;8.7;372.7
6169;20/02/2026;757;8.7;765.7
6189;19/02/2026;663.5;8.7;672.2
6189;26/02/2026;760.3;8.7;769
6194;20/02/2026;834.1;8.7;842.8
6194;26/02/2026;470.1;8.7;478.8
6228;10/02/2026;674;8.7;682.7
6235;08/02/2026;883.1;8.7;891.8
6324;23/02/2026;1249.1;8.7;1257.8
6028;19/02/2026;915.4;8.6;924
6039;26/02/2026;290.9;8.6;299.5
6063;22/02/2026;527.7;8.6;536.3
6075;18/02/2026;413.3;8.6;421.9
6077;24/02/2026;743;8.6;751.6
6085;26/02/2026;670.8;8.6;679.4
6103;18/02/2026;1244.7;8.6;1253.3
6168;24/02/2026;596.8;8.6;605.4
6188;18/02/2026;1010.8;8.6;1019.4
6299;26/02/2026;430.9;8.6;439.5
6019;26/02/2026;631.3;8.5;639.8
6033;17/02/2026;581.6;8.5;590.1
6059;07/02/2026;723.3;8.5;731.8
6066;14/02/2026;931;8.5;939.5
6093;04/02/2026;290.8;8.5;299.3
6097;06/02/2026;734.2;8.5;742.7
6103;25/02/2026;963.1;8.5;971.6
6108;15/02/2026;429.8;8.5;438.3
6139;09/02/2026;726.2;8.5;734.7
6145;16/02/2026;405.9;8.5;414.4
6175;05/02/2026;719.2;8.5;727.7
6185;24/02/2026;790.2;8.5;798.7
6215;08/02/2026;1156.3;8.5;1164.8
6228;23/02/2026;428.8;8.5;437.3
6285;28/02/2026;1272.4;8.5;1280.9
6304;09/02/2026;754.9;8.5;763.4
6023;10/02/2026;597.2;8.4;605.6
6047;06/02/2026;937.5;8.4;945.9
6054;17/02/2026;408.4;8.4;416.8
6056;25/02/2026;306.2;8.4;314.6
6068;20/02/2026;635.8;8.4;644.2
6073;03/02/2026;595.8;8.4;604.2
6077;22/02/2026;636.3;8.4;644.7
6096;06/02/2026;297.5;8.4;305.9
6109;10/02/2026;660.7;8.4;669.1
6128;05/02/2026;404.3;8.4;412.7
6128;07/02/2026;439.8;8.4;448.2
6146;04/02/2026;453.2;8.4;461.6
6158;07/02/2026;637.2;8.4;645.6
6185;12/02/2026;1098.5;8.4;1106.9
6204;25/02/2026;649.1;8.4;657.5
6218;04/02/2026;298.3;8.4;306.7
6228;06/02/2026;562.4;8.4;570.8
6238;18/02/2026;622.4;8.4;630.8
6295;15/02/2026;658;8.4;666.4
6344;02/02/2026;873.1;8.4;881.5
6017;06/02/2026;596.8;8.3;605.1
6023;25/02/2026;400.4;8.3;408.7
6097;07/02/2026;391.5;8.3;399.8
6155;19/02/2026;374.3;8.3;382.6
6159;11/02/2026;822.1;8.3;830.4
6188;06/02/2026;638;8.3;646.3
6189;07/02/2026;639;8.3;647.3
6199;15/02/2026;1056.2;8.3;1064.5
6209;11/02/2026;679.8;8.3;688.1
6239;17/02/2026;377.4;8.3;385.7
6285;01/02/2026;542.6;8.3;550.9
6304;15/02/2026;826.5;8.3;834.8
6029;22/02/2026;460.7;8.2;468.9
6048;13/02/2026;658.5;8.2;666.7
6048;24/02/2026;298.2;8.2;306.4
6057;01/02/2026;661.8;8.2;670
6069;24/02/2026;614.8;8.2;623
6077;27/02/2026;662.4;8.2;670.6
6078;08/02/2026;659.9;8.2;668.1
6087;05/02/2026;538.8;8.2;547
6093;09/02/2026;593.4;8.2;601.6
6138;27/02/2026;628.8;8.2;637
6139;18/02/2026;611.7;8.2;619.9
6145;04/02/2026;802.7;8.2;810.9
6204;15/02/2026;502.2;8.2;510.4
6238;07/02/2026;393.3;8.2;401.5
6249;22/02/2026;512.9;8.2;521.1
6265;14/02/2026;680.7;8.2;688.9
6265;15/02/2026;670.9;8.2;679.1
6279;10/02/2026;687.7;8.2;695.9
6304;17/02/2026;771.5;8.2;779.7
6305;19/02/2026;851;8.2;859.2
6344;04/02/2026;804;8.2;812.2
6355;16/02/2026;787.3;8.2;795.5
6044;12/02/2026;649.6;8.1;657.7
6045;03/02/2026;611.7;8.1;619.8
6054;16/02/2026;407.8;8.1;415.9
6067;24/02/2026;568.6;8.1;576.7
6095;01/02/2026;304.1;8.1;312.2
6097;18/02/2026;297.3;8.1;305.4
6129;14/02/2026;668.8;8.1;676.9
6138;20/02/2026;690.6;8.1;698.7
6156;05/02/2026;381.4;8.1;389.5
6179;17/02/2026;604.5;8.1;612.6
6239;04/02/2026;499.2;8.1;507.3
6285;11/02/2026;1054;8.1;1062.1
6289;02/02/2026;561.1;8.1;569.2
6289;18/02/2026;615.5;8.1;623.6
6314;20/02/2026;985.3;8.1;993.4
6067;14/02/2026;770.6;79.1;849.7
6019;19/02/2026;592.4;78.6;671
6036;22/02/2026;;78.4;78.4
6056;14/02/2026;133.4;77.4;210.8
6219;08/02/2026;;766.8;766.8
6155;11/02/2026;;76.2;76.2
6295;26/02/2026;386.7;75.8;462.5
6264;06/02/2026;278.4;745.1;1023.5
6027;22/02/2026;359.9;74.2;434.1
6078;09/02/2026;224.6;73.5;298.1
6119;08/02/2026;472.7;73.2;545.9
6038;21/02/2026;558.3;72.3;630.6
6137;09/02/2026;125.3;72.2;197.5
6194;19/02/2026;432.4;718.6;1151
2319;06/02/2026;;71.8;71.8
2252;10/02/2026;224.4;71.6;296
6269;14/02/2026;915.8;71.5;987.3
6219;21/02/2026;;706.4;706.4
6294;23/02/2026;298.5;700.6;999.1
6023;13/02/2026;666.3;70.9;737.2
6244;04/02/2026;225.8;70.8;296.6
6148;06/02/2026;;70.7;70.7
6239;24/02/2026;644.8;70.7;715.5
6044;23/02/2026;362.7;70.6;433.3
2262;13/02/2026;225.4;70.4;295.8
2262;19/02/2026;226;70.1;296.1
6017;25/02/2026;587.6;7.9;595.5
6018;11/02/2026;430.1;7.9;438
6024;24/02/2026;;7.9;7.9
6026;20/02/2026;396.3;7.9;404.2
6029;19/02/2026;735.9;7.9;743.8
6069;27/02/2026;629.2;7.9;637.1
6073;06/02/2026;875.6;7.9;883.5
6073;22/02/2026;297.2;7.9;305.1
6085;09/02/2026;700.9;7.9;708.8
6098;05/02/2026;363.6;7.9;371.5
6105;15/02/2026;413.2;7.9;421.1
6124;19/02/2026;413.5;7.9;421.4
6254;14/02/2026;937.4;7.9;945.3
6295;06/02/2026;1035.4;7.9;1043.3
6024;27/02/2026;553.7;7.8;561.5
6053;09/02/2026;638;7.8;645.8
6089;13/02/2026;845.9;7.8;853.7
6093;20/02/2026;529.4;7.8;537.2
6095;24/02/2026;310.2;7.8;318
6096;13/02/2026;657.1;7.8;664.9
6109;01/02/2026;1061.5;7.8;1069.3
6124;21/02/2026;413.4;7.8;421.2
6128;27/02/2026;712.7;7.8;720.5
6204;13/02/2026;453.5;7.8;461.3
6204;16/02/2026;502.4;7.8;510.2
6205;10/02/2026;810.9;7.8;818.7
6224;22/02/2026;562.1;7.8;569.9
6304;01/02/2026;865.5;7.8;873.3
6304;07/02/2026;865.3;7.8;873.1
6309;16/02/2026;816.9;7.8;824.7
6309;20/02/2026;659.8;7.8;667.6
6314;16/02/2026;806;7.8;813.8
6025;07/02/2026;564.5;7.7;572.2
6026;15/02/2026;605.4;7.7;613.1
6029;28/02/2026;478.8;7.7;486.5
6044;04/02/2026;452;7.7;459.7
6045;28/02/2026;674.8;7.7;682.5
6059;18/02/2026;587.9;7.7;595.6
6063;06/02/2026;741.2;7.7;748.9
6069;21/02/2026;446;7.7;453.7
6077;01/02/2026;668.9;7.7;676.6
6078;18/02/2026;393.2;7.7;400.9
6079;18/02/2026;447.5;7.7;455.2
6097;12/02/2026;461;7.7;468.7
6097;13/02/2026;1085.1;7.7;1092.8
6105;09/02/2026;412.9;7.7;420.6
6107;07/02/2026;448;7.7;455.7
6135;11/02/2026;396.4;7.7;404.1
6138;12/02/2026;558.9;7.7;566.6
6147;28/02/2026;437.2;7.7;444.9
6149;09/02/2026;458.7;7.7;466.4
6179;24/02/2026;304.7;7.7;312.4
6185;08/02/2026;1021.5;7.7;1029.2
6199;19/02/2026;457.6;7.7;465.3
6249;04/02/2026;374.5;7.7;382.2
6344;11/02/2026;597.5;7.7;605.2
6025;09/02/2026;571.4;7.6;579
6066;11/02/2026;322.2;7.6;329.8
6066;19/02/2026;396.4;7.6;404
6066;24/02/2026;380.7;7.6;388.3
6067;26/02/2026;458.9;7.6;466.5
6068;12/02/2026;673.5;7.6;681.1
6079;09/02/2026;836.4;7.6;844
6135;27/02/2026;581.9;7.6;589.5
6155;25/02/2026;568.8;7.6;576.4
6169;27/02/2026;806.3;7.6;813.9
6175;22/02/2026;759.4;7.6;767
6188;24/02/2026;387;7.6;394.6
6195;17/02/2026;1045;7.6;1052.6
6238;11/02/2026;597.9;7.6;605.5
6245;12/02/2026;781.9;7.6;789.5
6245;23/02/2026;1044.2;7.6;1051.8
6249;21/02/2026;371.9;7.6;379.5
6249;26/02/2026;608.2;7.6;615.8
6269;17/02/2026;373.1;7.6;380.7
6344;16/02/2026;237.4;7.6;245
6344;28/02/2026;828.2;7.6;835.8
6015;11/02/2026;566.4;7.5;573.9
6045;05/02/2026;565;7.5;572.5
6066;23/02/2026;396.1;7.5;403.6
6077;18/02/2026;588.3;7.5;595.8
6079;04/02/2026;715.8;7.5;723.3
6126;24/02/2026;380.9;7.5;388.4
6128;23/02/2026;299.4;7.5;306.9
6136;24/02/2026;389;7.5;396.5
6156;17/02/2026;405.9;7.5;413.4
6157;23/02/2026;450.9;7.5;458.4
6228;14/02/2026;610.2;7.5;617.7
6229;28/02/2026;447.4;7.5;454.9
6235;03/02/2026;1032.4;7.5;1039.9
6239;18/02/2026;610.4;7.5;617.9
6269;16/02/2026;376.1;7.5;383.6
6289;19/02/2026;366.7;7.5;374.2
6044;21/02/2026;353.9;7.4;361.3
6073;04/02/2026;488.7;7.4;496.1
6079;16/02/2026;353;7.4;360.4
6086;19/02/2026;283.4;7.4;290.8
6116;26/02/2026;397.1;7.4;404.5
6128;13/02/2026;392.8;7.4;400.2
6137;11/02/2026;956.5;7.4;963.9
6138;05/02/2026;708.3;7.4;715.7
6148;17/02/2026;384.3;7.4;391.7
6156;16/02/2026;605.5;7.4;612.9
6205;17/02/2026;1117;7.4;1124.4
6225;27/02/2026;1075.3;7.4;1082.7
6238;09/02/2026;438.2;7.4;445.6
6254;04/02/2026;909.8;7.4;917.2
6269;25/02/2026;372;7.4;379.4
6285;18/02/2026;838.8;7.4;846.2
6015;03/02/2026;413.5;7.3;420.8
6018;07/02/2026;298.7;7.3;306
6019;18/02/2026;772.5;7.3;779.8
6058;26/02/2026;613;7.3;620.3
6066;13/02/2026;260.8;7.3;268.1
6066;25/02/2026;390.3;7.3;397.6
6067;06/02/2026;1128.5;7.3;1135.8
6105;23/02/2026;455.9;7.3;463.2
6107;10/02/2026;296.3;7.3;303.6
6124;22/02/2026;413.3;7.3;420.6
6126;22/02/2026;380.5;7.3;387.8
6126;27/02/2026;386.6;7.3;393.9
6146;11/02/2026;589.3;7.3;596.6
6158;01/02/2026;713.2;7.3;720.5
6158;27/02/2026;386.6;7.3;393.9
6195;13/02/2026;903.1;7.3;910.4
6199;03/02/2026;419.9;7.3;427.2
6204;05/02/2026;809.7;7.3;817
6205;04/02/2026;666;7.3;673.3
6205;26/02/2026;1016.9;7.3;1024.2
6274;27/02/2026;780.4;7.3;787.7
6279;07/02/2026;298.1;7.3;305.4
6285;12/02/2026;1024.4;7.3;1031.7
2242;12/02/2026;;7.2;7.2
6015;05/02/2026;341.6;7.2;348.8
6044;03/02/2026;506.8;7.2;514
6046;12/02/2026;389.4;7.2;396.6
6047;28/02/2026;589.7;7.2;596.9
6066;22/02/2026;392.3;7.2;399.5
6068;15/02/2026;555.3;7.2;562.5
6078;25/02/2026;395.9;7.2;403.1
6093;27/02/2026;1057.1;7.2;1064.3
6096;05/02/2026;461.8;7.2;469
6098;24/02/2026;299;7.2;306.2
6105;27/02/2026;751.4;7.2;758.6
6127;15/02/2026;267.7;7.2;274.9
6129;09/02/2026;883.9;7.2;891.1
6136;06/02/2026;382;7.2;389.2
6188;03/02/2026;503.1;7.2;510.3
6195;05/02/2026;1153.7;7.2;1160.9
6205;16/02/2026;733.1;7.2;740.3
6228;15/02/2026;387.8;7.2;395
6279;08/02/2026;429.4;7.2;436.6
6285;06/02/2026;1057.8;7.2;1065
6295;12/02/2026;1051.1;7.2;1058.3
6299;17/02/2026;872.5;7.2;879.7
6335;10/02/2026;1033.5;7.2;1040.7
6025;11/02/2026;396.4;7.1;403.5
6045;20/02/2026;543.2;7.1;550.3
6054;22/02/2026;365.9;7.1;373
6056;24/02/2026;452.9;7.1;460
6063;17/02/2026;764.3;7.1;771.4
6069;18/02/2026;290.9;7.1;298
6076;16/02/2026;380.3;7.1;387.4
6076;27/02/2026;607;7.1;614.1
6078;26/02/2026;608;7.1;615.1
6079;28/02/2026;765.9;7.1;773
6096;10/02/2026;588;7.1;595.1
6097;05/02/2026;568.6;7.1;575.7
6125;24/02/2026;543.3;7.1;550.4
6128;02/02/2026;610.9;7.1;618
6145;15/02/2026;494.8;7.1;501.9
6148;02/02/2026;433.4;7.1;440.5
6158;14/02/2026;618.2;7.1;625.3
6178;22/02/2026;386.1;7.1;393.2
6185;02/02/2026;1102.5;7.1;1109.6
6194;08/02/2026;612.2;7.1;619.3
6205;20/02/2026;1123.9;7.1;1131
6219;06/02/2026;367.3;7.1;374.4
6228;09/02/2026;395.8;7.1;402.9
6235;17/02/2026;1136.8;7.1;1143.9
6248;23/02/2026;174.1;7.1;181.2
6255;28/02/2026;1033;7.1;1040.1
6325;15/02/2026;1109.6;7.1;1116.7
6244;03/02/2026;226;69.7;295.7
6149;21/02/2026;652.9;69.6;722.5
2262;20/02/2026;225.5;69.4;294.9
6098;08/02/2026;260.6;69.4;330
6083;16/02/2026;935.4;69.2;1004.6
6148;26/02/2026;561.7;69.1;630.8
6165;25/02/2026;222.3;68.7;291
6118;27/02/2026;351.3;68.6;419.9
6098;20/02/2026;560.1;68.5;628.6
2232;26/02/2026;237.8;67.8;305.6
2232;11/02/2026;225.7;67.4;293.1
6178;25/02/2026;561;67.3;628.3
6018;22/02/2026;554.7;66.8;621.5
6244;27/02/2026;;63.6;63.6
6204;20/02/2026;384.2;63.1;447.3
6235;15/02/2026;685.5;62.6;748.1
6046;09/02/2026;129.4;62.5;191.9
6165;08/02/2026;378;61.8;439.8
6229;23/02/2026;499.2;61.5;560.7
6125;11/02/2026;;61.4;61.4
6125;18/02/2026;599.8;60.7;660.5
6229;22/02/2026;274.9;60.7;335.6
6063;08/02/2026;798.5;6.9;805.4
6067;25/02/2026;411.7;6.9;418.6
6068;13/02/2026;529.1;6.9;536
6068;23/02/2026;299.3;6.9;306.2
6085;23/02/2026;344.8;6.9;351.7
6103;19/02/2026;745;6.9;751.9
6109;04/02/2026;297.6;6.9;304.5
6149;16/02/2026;288.8;6.9;295.7
6229;06/02/2026;390.5;6.9;397.4
6235;11/02/2026;776;6.9;782.9
6238;06/02/2026;399;6.9;405.9
6249;28/02/2026;376.9;6.9;383.8
6259;06/02/2026;504.2;6.9;511.1
6264;13/02/2026;709.3;6.9;716.2
6269;23/02/2026;376.3;6.9;383.2
6274;25/02/2026;693.9;6.9;700.8
6299;16/02/2026;502.2;6.9;509.1
6344;24/02/2026;572.2;6.9;579.1
6016;18/02/2026;517.2;6.8;524
6025;16/02/2026;539.3;6.8;546.1
6038;22/02/2026;451.1;6.8;457.9
6047;20/02/2026;291.1;6.8;297.9
6053;10/02/2026;400.9;6.8;407.7
6058;24/02/2026;266.6;6.8;273.4
6063;15/02/2026;838.5;6.8;845.3
6066;12/02/2026;306.9;6.8;313.7
6068;06/02/2026;351;6.8;357.8
6069;02/02/2026;974;6.8;980.8
6076;08/02/2026;397.1;6.8;403.9
6083;23/02/2026;488.8;6.8;495.6
6086;17/02/2026;496.5;6.8;503.3
6086;22/02/2026;396.7;6.8;403.5
6095;19/02/2026;384.2;6.8;391
6109;21/02/2026;621.5;6.8;628.3
6109;23/02/2026;772.5;6.8;779.3
6119;18/02/2026;1006.9;6.8;1013.7
6135;09/02/2026;313.8;6.8;320.6
6146;01/02/2026;558;6.8;564.8
6146;21/02/2026;389.3;6.8;396.1
6148;12/02/2026;509.3;6.8;516.1
6235;04/02/2026;1091.4;6.8;1098.2
6239;01/02/2026;578.5;6.8;585.3
6245;19/02/2026;1055;6.8;1061.8
6269;21/02/2026;599.2;6.8;606
6275;19/02/2026;706.2;6.8;713
6289;12/02/2026;358.8;6.8;365.6
6299;11/02/2026;374.5;6.8;381.3
6305;01/02/2026;1045.6;6.8;1052.4
6335;19/02/2026;1162;6.8;1168.8
6335;24/02/2026;1080;6.8;1086.8
6345;01/02/2026;1078.1;6.8;1084.9
6355;11/02/2026;1155.5;6.8;1162.3
6355;25/02/2026;1128.5;6.8;1135.3
247;03/02/2026;;6.7;6.7
6028;08/02/2026;69.6;6.7;76.3
6038;10/02/2026;364.2;6.7;370.9
6046;19/02/2026;396.2;6.7;402.9
6047;21/02/2026;590.2;6.7;596.9
6068;11/02/2026;494.5;6.7;501.2
6069;13/02/2026;692.2;6.7;698.9
6116;10/02/2026;234.7;6.7;241.4
6116;25/02/2026;393.2;6.7;399.9
6136;26/02/2026;298.3;6.7;305
6145;12/02/2026;899.5;6.7;906.2
6148;03/02/2026;307.8;6.7;314.5
6148;28/02/2026;335;6.7;341.7
6149;01/02/2026;825.1;6.7;831.8
6188;19/02/2026;247.3;6.7;254
6195;26/02/2026;799;6.7;805.7
6215;22/02/2026;1117.2;6.7;1123.9
6219;05/02/2026;375.3;6.7;382
6235;09/02/2026;679.5;6.7;686.2
6275;15/02/2026;939.9;6.7;946.6
6289;21/02/2026;262.4;6.7;269.1
6304;08/02/2026;613.8;6.7;620.5
6304;18/02/2026;542.1;6.7;548.8
6314;01/02/2026;697.6;6.7;704.3
6314;14/02/2026;1055.7;6.7;1062.4
6325;04/02/2026;1049.3;6.7;1056
6325;12/02/2026;662.4;6.7;669.1
6344;03/02/2026;603.6;6.7;610.3
6344;05/02/2026;580.3;6.7;587
6344;07/02/2026;725.1;6.7;731.8
6344;18/02/2026;679.5;6.7;686.2
6019;11/02/2026;567.3;6.6;573.9
6023;06/02/2026;484.2;6.6;490.8
6029;04/02/2026;753.9;6.6;760.5
6038;13/02/2026;572.8;6.6;579.4
6045;07/02/2026;536.6;6.6;543.2
6047;22/02/2026;619.5;6.6;626.1
6093;07/02/2026;803.4;6.6;810
6093;12/02/2026;770.5;6.6;777.1
6097;26/02/2026;750.8;6.6;757.4
6098;11/02/2026;389.5;6.6;396.1
6108;23/02/2026;885.1;6.6;891.7
6109;06/02/2026;604.1;6.6;610.7
6109;18/02/2026;673.8;6.6;680.4
6109;28/02/2026;771.7;6.6;778.3
6138;18/02/2026;594.7;6.6;601.3
6145;25/02/2026;789.9;6.6;796.5
6165;05/02/2026;875.2;6.6;881.8
6165;12/02/2026;765.9;6.6;772.5
6175;02/02/2026;797.6;6.6;804.2
6239;07/02/2026;375.8;6.6;382.4
6254;26/02/2026;666.3;6.6;672.9
6264;07/02/2026;585.6;6.6;592.2
6264;15/02/2026;645.1;6.6;651.7
6264;17/02/2026;592;6.6;598.6
6274;05/02/2026;292.9;6.6;299.5
6279;09/02/2026;288;6.6;294.6
6279;14/02/2026;373.9;6.6;380.5
6299;13/02/2026;449.7;6.6;456.3
