CÓDIGO;DESCRIÇÃO;VALOR
313;NÃO DISPONIBILIZAR OS ASSENTOS PREVISTOS PARA TRANSPORTE GRATUITO E COM DESCONTO NO VALOR DE PASSAGEM, NA QUANTIDADE E PRAZO ESTABELECIDOS NA LEGISLAÇÃO ESPECÍFICA;R$ 8.769,24
314;NÃO CONCEDER O DESCONTO MÍNIMO DE CINQUENTA POR CENTO DO VALOR DA PASSAGEM PREVISTO NA LEGISLAÇÃO ESPECÍFICA;R$ 8.769,24
315;NÃO ACEITAR COMO PROVA DE IDADE OU COMPROVANTE DE RENDIMENTO OS DOCUMENTOS INDICADOS EM LEGISLAÇÃO ESPECÍFICA QUE TRATA DE BENEFÍCIOS DE GRATUIDADE E/OU DE DESCONTO NO VALOR DE PASSAGEM NO TRANSPORTE COLETIVO INTERESTADUAL DE PASSAGEIROS;R$ 8.769,24
316;NÃO OBSERVAR O LIMITE DE TRINTA MINUTOS ANTES DA HORA MARCADA PARA O INÍCIO DA VIAGEM PARA O COMPARECIMENTO AO TERMINAL DE EMBARQUE DO BENEFICIÁRIO DA GRATUIDADE OU DO DESCONTO NO VALOR DA PASSAGEM PREVISTOS NA LEGISLAÇÃO ESPECÍFICA;R$ 8.769,24
317;NÃO OBSERVAR AS NORMAS E PROCEDIMENTOS DE ATENDIMENTO A PESSOAS COM DEFICIÊNCIA OU MOBILIDADE REDUZIDA;R$ 8.769,24
318;NÃO OBSERVAR AS NORMAS E PROCEDIMENTOS NECESSÁRIOS PARA GARANTIR CONDIÇÕES DE ACESSIBILIDADE AOS VEÍCULOS;R$ 8.769,24
319;NÃO OBSERVAR AS NORMAS E PROCEDIMENTOS DE INSCRIÇÃO INDICATIVA DA CATEGORIA E DE CADASTRAMENTO DOS ÔNIBUS;R$ 8.769,24
320;NÃO IMPLANTAR O SAC;R$ 8.769,24
321;ONERAR O CONSUMIDOR NO ATENDIMENTO DAS SOLICITAÇÕES E DEMANDAS NO SAC;R$ 8.769,24
401;EXECUTAR SERVIÇOS DE TRANSPORTE RODOVIÁRIO INTERESTADUAL OU INTERNACIONAL DE PASSAGEIROS SEM PRÉVIA AUTORIZAÇÃO OU PERMISSÃO;R$ 11.692,32
402;NÃO CONTRATAR SEGURO DE RESPONSABILIDADE CIVIL, DE ACORDO COM AS NORMAS REGULAMENTARES, OU EMPREENDER VIAGEM COM A RESPECTIVA APÓLICE EM SITUAÇÃO IRREGULAR;R$ 11.692,32
403;PRATICAR A VENDA DE BILHETES DE PASSAGEM E EMISSÃO DE PASSAGENS INDIVIDUAIS, QUANDO DA PRESTAÇÃO DE SERVIÇO DE TRANSPORTE SOB O REGIME DE FRETAMENTO;R$ 11.692,32
404;TRANSPORTAR PESSOA NÃO RELACIONADA NA LISTA DE PASSAGEIROS, QUANDO DA PRESTAÇÃO DE SERVIÇO DE TRANSPORTE SOB O REGIME DE FRETAMENTO;R$ 11.692,32
405;UTILIZAR TERMINAIS RODOVIÁRIOS NOS PONTOS EXTREMOS E NO PERCURSO DA VIAGEM OBJETO DA DELEGAÇÃO, QUANDO DA PRESTAÇÃO DE SERVIÇO DE TRANSPORTE SOB O REGIME DE FRETAMENTO;R$ 11.692,32
406;MANTER EM SERVIÇO VEÍCULO CUJA RETIRADA DE TRÁFEGO HAJA SIDO EXIGIDA;R$ 11.692,32
407;ADULTERAÇÃO DOS DOCUMENTOS DE PORTE OBRIGATÓRIO;R$ 11.692,32
408;INGERIR, O MOTORISTA DE VEÍCULO EM SERVIÇO, BEBIDA ALCOÓLICA OU SUBSTÂNCIA TÓXICA;R$ 11.692,32
409;APRESENTAR, O MOTORISTA DE VEÍCULO EM SERVIÇO, EVIDENTES SINAIS DE ESTAR SOB EFEITO DE BEBIDA ALCOÓLICA OU DE SUBSTÂNCIA TÓXICA;R$ 11.692,32
410;UTILIZAR-SE, NA DIREÇÃO DO VEÍCULO, DURANTE A PRESTAÇÃO DO SERVIÇO, DE MOTORISTA SEM VÍNCULO EMPREGATÍCIO;R$ 11.692,32
411;TRANSPORTAR PRODUTOS PERIGOSOS OU QUE COMPROMETAM A SEGURANÇA DO VEÍCULO, DE SEUS OCUPANTES OU DE TERCEIROS;R$ 11.692,32
412;INTERROMPER A PRESTAÇÃO DO SERVIÇO, SEM AUTORIZAÇÃO DA ANTT, SALVO CASO FORTUITO OU DE FORÇA MAIOR;R$ 11.692,32
413;NÃO OBSERVAR OS PROCEDIMENTOS DE ADMISSÃO, DE CONTROLE DE SAÚDE, TREINAMENTO PROFISSIONAL E DO REGIME DE TRABALHO DOS MOTORISTAS;R$ 11.692,32
414;DIRIGIR, O MOTORISTA, O VEÍCULO PONDO EM RISCO A SEGURANÇA DOS PASSAGEIROS;R$ 11.692,32
415;NÃO PRESTAR ASSISTÊNCIA AOS PASSAGEIROS E À TRIPULAÇÃO, EM CASO DE ACIDENTE, ASSALTO, AVARIA MECÂNICA OU ATRASO;R$ 11.692,32
416;EFETUAR OPERAÇÃO DE CARREGAMENTO OU DESCARREGAMENTO DE ENCOMENDAS EM DESACORDO COM AS NORMAS REGULAMENTARES;R$ 11.692,32
417;TRANSPORTAR ENCOMENDAS FORA DOS LOCAIS PRÓPRIOS OU EM CONDIÇÕES DIFERENTES DAS ESTABELECIDAS PARA TAL FIM;R$ 11.692,32
418;PRATICAR ATOS DE DESOBEDIÊNCIA OU OPOSIÇÃO À AÇÃO DA FISCALIZAÇÃO;R$ 11.692,32
